Aix-en-Provence,13,134324,186.1,23
Ajaccio,2,52851,82.0,94
Albi,81,46299,44.3,129
Alès,30,39282,23.2,168
Alfortville,94,36319,3.7,190
Amiens,80,135449,49.5,22
Angers,49,151322,42.7,17
Angoulême,16,43137,21.9,145
Annecy,74,50324,13.7,108
Antibes,6,72454,26.5,60
Antony,92,59849,9.6,80
Argenteuil,95,93932,17.2,40
Arles,13,50467,758.9,105
Arras,62,40535,11.6,160
Asnières-sur-Seine,92,75832,4.8,56
Aubagne,13,42681,54.9,148
Aubervilliers,93,63130,5.8,72
Aulnay-sous-Bois,93,80030,16.2,50
Auxerre,89,37820,50.0,176
Avignon,84,85937,64.8,45
Bagneux,92,37215,4.2,184
Bastia,2,37880,19.4,175
Bayonne,64,40113,21.7,162
Beauvais,60,55371,33.3,90
Belfort,90,50406,17.1,106
Besançon,25,117691,65.1,30
Béziers,34,69359,95.5,64
Blois,41,49062,37.5,118
Bobigny,93,44118,6.8,133
Bondy,93,46829,5.5,124
Bordeaux,33,215374,49.4,9
Boulogne-Billancourt,92,106316,6.2,35
Boulogne-sur-Mer,62,44865,8.4,132
Bourg-en-Bresse,1,4062,23.9,159
Bourges,18,72434,68.7,61
Brest,29,149649,49.5,19
Brive-la-Gaillarde,19,49127,48.6,117
Bron,69,37359,10.3,180
Caen,14,114007,25.7,31
Cagnes-sur-Mer,6,43929,18.0,135
Calais,62,77317,33.5,53
Caluire-et-Cuire,69,41248,10.5,153
Cannes,6,67406,19.6,66
Carcassonne,11,43937,65.1,134
Castres,81,43451,98.2,143
Cayenne,973,50395,23.6,107
Cergy,95,54816,11.7,91
Chalon-sur-Saône,71,50110,15.2,111
Châlons-en-Champagne,51,47338,26.1,121
Chambéry,73,55762,21.0,88
Champigny-sur-Marne,94,74232,11.3,57
Charleville-Mézières,8,55481,31.4,89
Chartres,28,40402,16.9,161
Châteauroux,36,49598,25.5,113
Chelles,77,45371,15.9,131
Cholet,49,54215,87.5,93
Clamart,92,48619,8.8,119
Clermont-Ferrand,63,137154,42.7,21
Clichy,92,50237,3.1,109
Colmar,68,65118,66.6,68
Colombes,92,76690,7.8,55
Compiègne,60,41228,53.1,154
Corbeil-Essonnes,91,39384,11.0,167
Courbevoie,92,69665,4.2,63
Créteil,94,81786,11.4,49
Dijon,21,150138,40.4,18
Douai,59,42812,16.9,146
Drancy,93,62271,7.8,74
Dunkerque,59,70834,37.3,62
épinal,88,35782,59.2,195
épinay-sur-Seine,93,46558,4.6,126
évreux,27,51159,26.5,99
évry,91,49397,8.3,114
Fontenay-sous-Bois,94,50865,5.6,103
Fort-de-France,972,94152,44.2,39
Fréjus,83,46770,102.3,125
Gagny,93,36775,6.8,187
Gap,5,36269,110.4,191
Garges-lès-Gonesse,95,40060,5.5,163
Gennevilliers,92,42344,11.6,149
Grasse,6,43848,44.4,136
Grenoble,38,153426,18.1,16
Hyères,83,51412,132.4,98
Issy-les-Moulineaux,92,52642,4.3,95
Istres,13,38983,113.7,171
Ivry-sur-Seine,94,50951,6.1,102
Joué-lès-Tours,37,36511,32.4,189
